
====================================================================================================
WINDOW since 09-22 13:30Z: 358 closed trades/settlements
fees paid on fills by book (both legs): {'alpaca-paper': 10.28, 'kalshi-shadow': 25.55, 'kalshi': 0.2, 'alpaca': 0.03}

### by book: key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
kalshi-shadow | -361.25 | 150 | -2.408 | -26.92 | 24 | 1925
('kalshi', 'event') | +0.53 | 10 | +0.053 | +0.00 | 0 | 80

### by book x order type: key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
('kalshi-shadow', 'settle') | -214.59 | 63 | -3.406 | +1.35 | 2 | 792
('alpaca-paper', 'market') | -52.29 | 63 | -0.830 | -0.77 | 9 | 1866
('alpaca-paper', 'limit') | -37.98 | 53 | -0.717 | -3.00 | 1 | 1596
('alpaca', 'market') | -0.51 | 1 | -0.505 | +0.00 | 0 | 12
('kalshi', 'settle') | +0.53 | 10 | +0.053 | +0.00 | 0 | 80

### by book x liquidity (exit fill): key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
('kalshi-shadow', None) | -214.59 | 63 | -3.406 | +1.35 | 2 | 792
('alpaca-paper', 'taker') | -90.28 | 116 | -0.778 | -3.77 | 10 | 3463
('alpaca', 'taker') | -0.51 | 1 | -0.505 | +0.00 | 0 | 12
('kalshi', None) | +0.53 | 10 | +0.053 | +0.00 | 0 | 80

### by book x founder class: key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
('kalshi-shadow', 'foundry') | -197.92 | 35 | -5.655 | +0.00 | 0 | 560
('alpaca-paper', 'house') | -34.78 | 55 | -0.632 | -3.48 | 6 | 1593
('alpaca-paper', 'architect') | -27.21 | 36 | -0.756 | -0.29 | 4 | 1209
('alpaca-paper', 'repair') | -16.00 | 4 | -4.000 | +0.00 | 0 | 47
('alpaca-paper', 'foundry') | -12.29 | 21 | -0.585 | +0.00 | 0 | 614
('kalshi-shadow', 'lab') | -11.11 | 3 | -3.704 | +0.00 | 0 | 27
('kalshi-shadow', 'house') | -5.56 | 25 | -0.222 | +1.35 | 2 | 205
('kalshi', 'foundry') | -2.55 | 1 | -2.546 | +0.00 | 0 | 3
('alpaca', 'house') | -0.51 | 1 | -0.505 | +0.00 | 0 | 12
('kalshi', 'house') | +3.08 | 9 | +0.342 | +0.00 | 0 | 78

### by practice/real x entry UTC hour: key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
('practice', '14') | -75.99 | 32 | -2.375 | +0.00 | 0 | 727
('practice', '06') | -68.24 | 7 | -9.749 | +0.00 | 0 | 158
('practice', '11') | -48.37 | 12 | -4.031 | +0.00 | 0 | 295
('practice', '10') | -45.43 | 12 | -3.785 | +0.00 | 0 | 247
('practice', '15') | -42.28 | 14 | -3.020 | +0.00 | 0 | 202
('practice', '08') | -40.15 | 27 | -1.487 | -0.31 | 1 | 838
('practice', '07') | -39.48 | 21 | -1.880 | +0.00 | 0 | 669
('practice', '12') | -30.13 | 11 | -2.739 | +0.00 | 0 | 191
('practice', '19') | -10.99 | 10 | -1.099 | -0.47 | 8 | 364
('practice', '16') | +0.00 | 2 | +0.000 | -3.00 | 1 | 65
('real', '14') | -2.55 | 1 | -2.546 | +0.00 | 0 | 3
('real', '12') | -1.52 | 1 | -1.520 | +0.00 | 0 | 2
('practice', '05') | -0.86 | 3 | -0.286 | +0.00 | 0 | 93
('practice', '04') | -0.62 | 2 | -0.308 | +0.00 | 0 | 30
('real', '11') | -0.51 | 1 | -0.505 | +0.00 | 0 | 12
('real', '02') | +0.30 | 1 | +0.300 | +0.00 | 0 | 10
('real', '15') | +0.50 | 1 | +0.500 | +0.00 | 0 | 10
('real', '00') | +0.70 | 1 | +0.700 | +0.00 | 0 | 9
('real', '03') | +0.70 | 1 | +0.700 | +0.00 | 0 | 9
('practice', '02') | +0.00 | 0 | +nan | +0.75 | 1 | 9
('practice', '22') | +0.80 | 2 | +0.400 | +0.00 | 0 | 19
('real', '05') | +0.90 | 2 | +0.450 | +0.00 | 0 | 19
('practice', '23') | +1.10 | 2 | +0.550 | +0.00 | 0 | 19
('practice', '17') | +0.60 | 1 | +0.600 | +0.60 | 1 | 19
('real', '20') | +1.50 | 2 | +0.750 | +0.00 | 0 | 20
('practice', '21') | +3.80 | 4 | +0.950 | +0.00 | 0 | 37
('practice', '13') | +8.44 | 8 | +1.055 | +0.00 | 0 | 153
('practice', '09') | +82.92 | 9 | +9.214 | +0.00 | 0 | 118

